1 -1 124 2.6853e-05 2.6853e-05 3.85e-06 5.7067e-17 0
2 -1 123 6.1337e-05 6.1337e-05 8.6089e-06 2.8533e-16 0
3 -1 122 3.9825e-05 3.9825e-05 1.0889e-05 7.4187e-16 0
4 -1 117 3.85e-06 3.85e-06 2.7224e-05 2.8533e-16 0
5 -1 116 3.8113e-05 3.8113e-05 7.7e-06 5.136e-16 0
6 -1 115 3.85e-06 3.85e-06 2.695e-05 2.568e-15 0
7 -1 102 0.00012429 0.00012429 3.85e-06 5.7067e-17 0
8 -1 100 4.8297e-05 4.8297e-05 7.7e-06 5.136e-16 0
9 -1 91 3.0315e-05 3.0315e-05 7.7e-06 5.136e-16 0
10 -1 85 3.8692e-05 3.8692e-05 1.155e-05 1.1984e-15 0
11 -1 84 3.85e-06 3.85e-06 1.925e-05 5.7067e-17 0
12 -1 83 2.3733e-05 2.3733e-05 1.155e-05 1.1984e-15 0
13 -1 82 3.85e-06 3.85e-06 1.925e-05 1.6549e-15 0
14 -1 81 0.00014421 0.00014421 3.85e-06 5.7067e-17 0
15 -1 67 9.1771e-05 9.1771e-05 3.85e-06 5.7067e-17 0
16 -1 63 3.85e-06 3.85e-06 1.5874e-05 2.8533e-16 0
17 -1 60 3.85e-06 3.85e-06 1.5874e-05 2.8533e-16 0
18 -1 55 2.0005e-05 2.0005e-05 5.4447e-06 2.8533e-16 0
19 -1 54 3.85e-06 3.85e-06 1.54e-05 1.1984e-15 0
20 -1 53 3.85e-06 3.85e-06 2.31e-05 2.1115e-15 0
21 -1 52 3.85e-06 3.85e-06 1.4405e-05 1.1984e-15 0
22 -1 45 3.6607e-05 3.6607e-05 7.7e-06 5.7067e-17 0
23 -1 44 3.85e-06 3.85e-06 1.54e-05 1.1984e-15 0
24 -1 41 3.85e-06 3.85e-06 1.2769e-05 5.136e-16 0
25 -1 37 1.3881e-05 1.3881e-05 5.4447e-06 2.8533e-16 0
26 -1 5 3.2668e-05 3.2668e-05 3.85e-06 5.7067e-17 0
27 -1 3 3.85e-06 3.85e-06 7.7e-06 5.136e-16 0
28 113 72 6.5759e-05 6.7213e-05 3.2006e-06 6.0491e-15 0
29 6 85 1.9949e-05 6.958e-05 3.85e-07 5.4213e-15 0
30 55 85 4.8649e-05 9.649e-05 4.219e-06 5.7067e-17 0
31 0 111 5.7371e-05 8.1949e-05 3.85e-07 7.9893e-16 0
32 85 5 9.2214e-05 2.1728e-05 3.85e-07 3.9947e-15 0
33 97 1 5.0385e-05 1.7026e-05 1.1397e-05 2.3968e-15 0
34 72 1 3.8401e-05 1.4869e-05 1.4406e-05 2.9104e-15 0
35 101 98 6.1188e-05 6.7614e-05 3.85e-07 5.7067e-17 0
36 0 30 3.747e-05 4.5963e-05 2.1157e-05 5.7067e-17 0
37 51 117 5.2495e-05 7.3906e-05 3.85e-07 3.3669e-15 0
