 10336
     1     -1   8460 1.388155E-005 2.449364E-002 5.345000E-006
     2   8394      0 1.843598E-006 3.544093E-002 1.069000E-005
     3     -1   8377 2.849095E-006 3.839902E-002 3.525010E-005
     4     -1   8372 9.596956E-006 2.937168E-002 2.927577E-005
     5   8368      0 8.612401E-006 2.624592E-002 5.345000E-006
     6     -1   8344 7.627039E-006 2.576806E-002 5.345000E-006
     7     -1   8335 1.103044E-005 2.580910E-002 5.345000E-006
     8   8329      0 2.154687E-006 3.000981E-002 6.935522E-005
     9     -1   8321 5.036310E-006 2.714289E-002 5.345000E-006
    10     -1   8319 2.819752E-006 2.822872E-002 5.345000E-006
    11   8310      0 4.395584E-006 3.729148E-002 5.153107E-005
    12     -1   8309 5.528613E-006 2.576706E-002 5.345000E-006
    13     -1   8304 3.425580E-006 3.604840E-002 5.345000E-006
    14     -1   8297 8.708401E-007 4.273620E-002 1.195178E-005
    15     -1   8278 1.250274E-005 2.901434E-002 5.345000E-006
    16     -1   8256 4.519068E-006 3.979392E-002 5.345000E-006
    17     -1   8177 3.590864E-006 2.656261E-002 5.345000E-006
    18     -1   8148 3.421721E-006 4.023410E-002 5.345000E-006
    19     -1   8146 2.266409E-006 4.518280E-002 3.309168E-005
    20   8124      0 1.713966E-006 3.430258E-002 5.236254E-005
    21   8107      0 4.633269E-006 2.980493E-002 5.432399E-005
    22     -1   8092 1.220190E-005 2.758601E-002 5.345000E-006
    23     -1   8071 2.200639E-006 1.882165E-002 9.257812E-006
    24   8043      0 6.264996E-006 2.658478E-002 7.558971E-006
    25   8024      0 4.282541E-006 3.005706E-002 1.309252E-005
    26     -1   8008 1.178000E-005 2.327106E-002 5.345000E-006
    27   7970      0 2.388856E-006 3.216356E-002 5.345000E-006
    28   7954      0 5.439989E-006 3.369538E-002 5.345000E-006
    29     -1   7890 8.592954E-006 3.847958E-002 5.345000E-006
    30     -1   7877 1.414510E-005 3.971499E-002 5.345000E-006
    31   7876      0 9.283972E-006 2.057856E-002 5.345000E-006
    32   7869      0 4.139005E-006 3.211148E-002 5.345000E-006
    33     -1   7868 4.362873E-006 3.711379E-002 5.345000E-006
    34   7867      0 3.458380E-006 3.328091E-002 1.927167E-005
    35   7818      0 6.114075E-006 3.695771E-002 2.878371E-005
    36   7811      0 3.915430E-006 3.274325E-002 5.345000E-006
    37   7805      0 6.645710E-006 3.898894E-002 5.345000E-006
    38     -1   7780 1.330062E-005 4.130875E-002 5.345000E-006
    39   7767      0 3.952808E-006 3.741468E-002 4.388651E-005
    40   7755      0 1.907460E-006 3.240839E-002 2.235033E-005
    41     -1   7719 4.624373E-006 2.929342E-002 5.195269E-005
    42   7677      0 2.416889E-006 4.307484E-002 2.264178E-005
    43     -1   7669 5.799305E-006 3.715298E-002 5.345000E-006
    44   7653      0 8.878609E-006 3.704933E-002 5.345000E-006
    45     -1   7651 2.319848E-006 3.906871E-002 9.257812E-006
    46     -1   7607 4.224090E-006 2.508196E-002 5.345000E-006
    47   7605      0 1.049400E-005 3.776978E-002 5.345000E-006
    48   7601      0 7.322192E-006 2.389173E-002 5.345000E-006
    49     -1   7576 1.040552E-006 2.669407E-002 1.309252E-005
