18   
      1      2      1  5.055348e-005  4.800000e-002  3.129263e-004
      2      4      1  5.009617e-005  4.800000e-002  3.104492e-004
      3     -1      1  5.322955e-005  7.957747e-002  3.137822e-004
      4      3      2  5.021702e-005  6.250000e-002  3.045666e-004
      5      5      2  5.186049e-005  4.800000e-002  3.142718e-004
      6      0      3  5.014120e-005  4.800000e-002  3.094382e-004
      7      6      3  5.070115e-005  7.957747e-002  3.083199e-004
      8      5      4  5.038950e-005  4.800000e-002  3.253667e-004
      9      7      4  5.053473e-005  7.957747e-002  3.074965e-004
     10     -1      4  5.268526e-005  4.800000e-002  3.163710e-004
     11      6      5  5.410732e-005  4.800000e-002  3.291417e-004
     12      8      5  5.017944e-005  6.250000e-002  3.125243e-004
     13      0      6  5.221515e-005  4.800000e-002  3.153893e-004
     14      9      6  5.126611e-005  4.800000e-002  3.117082e-004
     15      8      7  5.222940e-005  4.800000e-002  3.058345e-004
     16     -1      7  5.095623e-005  4.800000e-002  3.089596e-004
     17      9      8  5.015589e-005  7.957747e-002  3.065261e-004
     18      0      9  5.774941e-005  4.800000e-002  3.140329e-004
