1 1.2641e-12 5.4063e-05 0.0625 0
2 1.3146e-12 5.4773e-05 0.0625 0
3 1.6309e-12 5.3898e-05 0.048 0
4 1.1457e-12 5.6707e-05 0.079577 0
5 1.4268e-12 6.1009e-05 0.079577 0
6 1.5821e-12 5.8262e-05 0.0625 0
7 9.2179e-13 5.2741e-05 0.079577 0
8 1.4991e-12 5.2405e-05 0.048 0
9 1.0904e-12 5.1463e-05 0.0625 0
10 1.6914e-12 5.4555e-05 0.048 0
11 1.2151e-12 5.3354e-05 0.0625 0
12 1.5588e-12 5.3091e-05 0.048 0
13 1.2027e-12 5.3173e-05 0.0625 0
14 1.7222e-12 5.4885e-05 0.048 0
15 1.8091e-12 5.5792e-05 0.048 0
16 2.0914e-12 5.8556e-05 0.048 0
17 1.8451e-12 6.1326e-05 0.0625 0
18 1.6127e-12 5.8635e-05 0.0625 0
19 1.284e-12 5.4345e-05 0.0625 0
20 1.1198e-12 5.6275e-05 0.079577 0
21 1.3586e-12 5.5378e-05 0.0625 0
22 1.4132e-12 5.1383e-05 0.048 0
23 1.6909e-12 5.4551e-05 0.048 0
24 9.468e-13 5.3214e-05 0.079577 0
25 1.8373e-12 6.1239e-05 0.0625 0
26 1.2206e-12 5.7916e-05 0.079577 0
27 1.7501e-12 6.0254e-05 0.0625 0
