366
1 -1 124 2.3934e-06 0.039012 2.6853e-05
2 -1 123 6.5708e-06 0.033191 6.1337e-05
3 -1 122 7.4914e-06 0.029708 3.9825e-05
4 -1 117 2.5653e-05 0.032576 3.85e-06
5 -1 116 4.591e-06 0.023978 3.8113e-05
6 -1 115 2.462e-05 0.027978 3.85e-06
7 -1 102 3.0643e-06 0.027806 0.00012429
8 -1 100 4.5272e-06 0.026331 4.8297e-05
9 -1 91 3.5836e-06 0.026579 3.0315e-05
10 -1 85 7.7727e-06 0.034517 3.8692e-05
11 -1 84 1.7346e-05 0.024285 3.85e-06
12 -1 83 7.7814e-06 0.028335 2.3733e-05
13 -1 82 1.7419e-05 0.023006 3.85e-06
14 -1 81 3.6912e-06 0.035929 0.00014421
15 -1 67 3.6422e-06 0.026944 9.1771e-05
16 -1 63 1.4412e-05 0.020299 3.85e-06
17 -1 60 1.2861e-05 0.04083 3.85e-06
18 -1 55 1.294e-06 0.032823 2.0005e-05
19 -1 54 1.2319e-05 0.037508 3.85e-06
20 -1 53 1.9197e-05 0.032949 3.85e-06
21 -1 52 1.239e-05 0.03385 3.85e-06
22 -1 45 7.2358e-06 0.029781 3.6607e-05
23 -1 44 1.5085e-05 0.028105 3.85e-06
24 -1 41 1.2522e-05 0.035717 3.85e-06
25 -1 37 5.3229e-06 0.043524 1.3881e-05
26 -1 5 2.7513e-06 0.032724 3.2668e-05
27 -1 3 7.4972e-06 0.027089 3.85e-06
28 113 72 2.7754e-06 0.020748 0.00020552
29 6 85 3.2103e-06 0.031632 0.0001879
30 55 85 2.7482e-06 0.035546 0.00018775
31 0 111 1.6944e-06 0.029518 0.00019081
32 85 5 1.5502e-06 0.028971 0.00017497
33 97 1 1.5905e-06 0.040491 0.00010789
34 72 1 8.414e-07 0.029319 8.0486e-05
35 101 98 1.9932e-06 0.04429 0.00017872
36 0 30 3.3215e-06 0.030619 0.00012254
37 51 117 3.687e-06 0.039044 0.00019651
38 82 37 3.5725e-06 0.030583 0.00014711
39 84 85 3.3391e-06 0.032805 0.00019659
40 11 77 1.7896e-06 0.034478 0.00011437
41 47 2 1.5153e-06 0.029056 6.879e-05
42 121 23 2.7398e-06 0.038777 0.00014292
43 123 54 1.8678e-06 0.029434 0.00012399
44 70 104 1.5216e-06 0.028021 9.9178e-05
45 3 2 1.1855e-06 0.040166 4.8916e-05
46 25 17 2.7765e-06 0.038308 4.4546e-05
47 21 82 2.9241e-06 0.034093 0.00012442
48 9 118 2.8344e-06 0.032992 0.00012046
49 9 0 2.5983e-06 0.025919 0.00010147
50 28 107 2.0133e-06 0.020275 7.1574e-05
51 86 74 2.0149e-06 0.034554 0.00010728
52 93 0 2.5935e-06 0.030451 0.00014503
53 23 8 1.1884e-06 0.034587 4.5263e-05
54 4 8 8.3781e-07 0.04402 4.373e-05
55 4 119 7.6653e-07 0.030407 9.4583e-05
56 4 121 1.5058e-06 0.03335 0.00020741
57 15 5 1.8382e-06 0.031512 4.3507e-05
58 6 5 1.7598e-06 0.019425 4.4329e-05
59 8 121 2.7771e-06 0.037476 0.00021228
60 7 92 3.0718e-06 0.033555 8.7363e-05
61 70 36 3.346e-06 0.028905 5.7753e-05
62 25 96 4.8662e-07 0.029659 8.2914e-05
63 25 19 2.8102e-06 0.022586 4.0108e-05
64 9 8 6.5423e-07 0.030376 4.179e-05
65 28 18 6.5804e-07 0.028473 3.4003e-05
66 10 23 4.2064e-07 0.036385 2.6167e-05
67 12 53 1.9859e-06 0.039881 5.9346e-05
68 12 11 2.544e-06 0.030728 1.9127e-05
69 13 121 1.7497e-06 0.024954 0.00017311
70 15 14 1.9555e-06 0.020123 1.7218e-05
71 16 123 8.2036e-07 0.034705 0.00011553
72 16 122 3.0958e-06 0.044235 8.184e-05
73 17 96 1.8383e-06 0.036319 6.9979e-05
74 110 18 1.0102e-06 0.030885 0.00016051
75 87 22 2.8583e-06 0.033067 0.00015673
76 89 118 2.5121e-06 0.036945 0.00019682
77 53 82 3.3433e-06 0.027778 0.00015062
78 0 19 5.7143e-07 0.036566 9.0533e-05
79 50 92 3.9004e-06 0.02758 9.0235e-05
80 46 32 1.7814e-06 0.038699 5.8098e-05
81 27 121 3.6991e-06 0.039143 8.797e-05
82 19 113 1.369e-06 0.039614 9.9512e-05
83 21 20 1.6383e-06 0.03836 3.6493e-05
84 31 119 5.3025e-06 0.038017 0.0001199
85 22 98 1.0125e-06 0.038562 5.472e-05
86 22 46 3.2451e-06 0.029197 4.2338e-05
87 23 118 3.2304e-06 0.039521 7.933e-05
88 24 27 2.4713e-06 0.026479 2.8929e-05
89 25 0 1.4889e-06 0.032751 0.00013947
90 26 100 2.2925e-06 0.030351 8.3674e-05
91 29 28 3.1012e-06 0.031628 2.3287e-05
92 81 37 3.0334e-06 0.03452 0.00016092
93 59 68 4.4458e-06 0.02653 0.00012339
