  8508  2.138000E-003  2.138000E-003  2.138000E-003
     1 2.127310E-003 1.598155E-003 3.634600E-004   2	    0	 4887	    0	    1	  518	  520
     2 9.193400E-004 1.261420E-003 1.999030E-003   1	 1576	    0	    0	  522
     3 1.566085E-003 5.772600E-004 1.293490E-003   1	 2082	    0	    0	  523
     4 8.231300E-004 7.750250E-004 3.794950E-004   1	 6239	    0	    0	  533
     5 5.665700E-004 1.881440E-003 1.063655E-003   1	 4854	    0	    0	  542
     6 1.346940E-003 5.345000E-006 8.017500E-004   1	    7	    0	    0	  544
     7 1.411080E-003 2.672500E-005 7.215750E-004   1	    6	    0	    0	  544
     8 1.395045E-003 1.138485E-003 1.710400E-003   1	 3767	    0	    0	  558
     9 4.650150E-004 2.127310E-003 1.437805E-003   1	 4198	    0	    0	  569
    10 3.527700E-004 5.345000E-006 3.474250E-004   1	 5725	    0	    0	  573
    11 1.854715E-003 5.345000E-006 1.779885E-003   1	 1605	    0	    0	  577
    12 7.483000E-004 2.127310E-003 1.058310E-003   1	 2690	    0	    0	  578
    13 3.848400E-004 1.036930E-003 4.650150E-004   1	  121	    0	    0	  592
    14 1.902820E-003 1.587465E-003 1.336250E-004   1	 6101	    0	    0	  596
    15 1.085035E-003 1.774540E-003 5.131200E-004   1	 1408	    0	    0	  597
    16 1.448495E-003 1.143830E-003 9.086500E-004   1	  703	    0	    0	  598
    17 8.017500E-005 5.505350E-004 5.345000E-006   1	 6133	    0	    0	  608
    18 1.731780E-003 9.567550E-004 1.603500E-005   1	 4803	    0	    0	  610
    19 3.207000E-004 7.964050E-004 6.520900E-004   1	 6611	    0	    0	  612
    20 4.169100E-004 5.345000E-006 5.879500E-005   1	 5516	    0	    0	  616
    21 5.345000E-006 5.505350E-004 1.972305E-003   2	   -1	   22	    1	    0	  517	  620
    22 2.138000E-005 5.826050E-004 1.924200E-003   1	   21	    0	    0	  620
    23 5.345000E-005 8.445100E-004 1.635570E-003   1	 4248	    0	    0	  623
    24 7.215750E-004 3.901850E-004 2.121965E-003   1	 4754	    0	    0	  624
    25 1.346940E-003 2.031100E-004 5.932950E-004   1	 5506	    0	    0	  639
    26 4.276000E-005 1.517980E-003 5.291550E-004   1	 5832	    0	    0	  642
    27 1.336250E-003 1.651605E-003 1.608845E-003   1	 6505	    0	    0	  651
    28 1.325560E-003 5.238100E-004 1.304180E-003   1	 6196	    0	    0	  666
    29 1.785230E-003 1.159865E-003 1.443150E-003   2	 3904	 3317	    0	    0	  600	  677
    30 1.945580E-003 2.405250E-004 1.924200E-003   1	   31	    0	    0	  679
    31 2.020410E-003 3.046650E-004 1.918855E-003   1	   30	    0	    0	  679
    32 1.779885E-003 1.854715E-003 1.395045E-003   1	 3087	    0	    0	  683
    33 7.857150E-004 8.552000E-004 1.485910E-003   1	 5336	    0	    0	  684
    34 1.373665E-003 2.111275E-003 1.314870E-003   1	 3236	    0	    0	  687
    35 1.630225E-003 1.940235E-003 1.229350E-003   2	 5144	 4256	    0	    0	  556	  688
    36 2.127310E-003 1.015550E-004 1.924200E-004   2	    0	 5403	    0	    1	  516	  689
    37 1.133140E-003 1.282800E-004 8.124400E-004   2	 1524	 3723	    0	    0	  682	  695
    38 7.322650E-004 8.017500E-004 1.437805E-003   1	 5925	    0	    0	  696
    39 9.781350E-004 2.565600E-004 1.940235E-003   1	   40	    0	    0	  699
    40 9.460650E-004 1.763850E-004 1.886785E-003   1	   39	    0	    0	  699
    41 5.986400E-004 1.603500E-003 1.175900E-004   1	 2438	    0	    0	  702
    42 1.170555E-003 2.191450E-004 3.153550E-004   1	   43	    0	    0	  704
    43 1.224005E-003 1.924200E-004 3.100100E-004   1	   42	    0	    0	  704
    44 1.036930E-003 1.036930E-003 8.391650E-004   1	 1747	    0	    0	  705
    45 1.811955E-003 3.741500E-005 1.240040E-003   1	 3411	    0	    0	  706
    46 1.224005E-003 1.496600E-004 2.121965E-003   1	 6064	    0	    0	  707
    47 1.475220E-003 1.849370E-003 1.961615E-003   1	 6439	    0	    0	  712
    48 1.672985E-003 1.897475E-003 2.004375E-003   1	 6608	    0	    0	  715
    49 8.231300E-004 9.300300E-004 6.734700E-004   1	 2031	    0	    0	  718
    50 1.234695E-003 1.143830E-003 4.650150E-004   1	 4381	    0	    0	  725
    51 9.407200E-004 3.794950E-004 1.844025E-003   1	 3265	    0	    0	  727
    52 1.817300E-003 9.407200E-004 4.489800E-004   1	 3781	    0	    0	  728
    53 1.865405E-003 1.656950E-004 1.069000E-005   1	 5470	    0	    0	  736
    54 1.929545E-003 1.015550E-004 2.084550E-003   1	 5706	    0	    0	  743
    55 8.445100E-004 1.918855E-003 9.941700E-004   1	 2498	    0	    0	  745
    56 2.121965E-003 1.395045E-003 1.475220E-003   2	    0	 6599	    0	    1	  515	  749
    57 8.712350E-004 1.630225E-003 5.345000E-005   1	 3793	    0	    0	  753
    58 3.313900E-004 2.779400E-004 9.139950E-004   1	 3692	    0	    0	  762
    59 1.106415E-003 4.543250E-004 1.667640E-003   1	 2521	    0	    0	  764
    60 7.589900E-004 2.068515E-003 6.520900E-004   1	 2931	    0	    0	  766
    61 7.750250E-004 5.665700E-004 1.892130E-003   1	 1013	    0	    0	  770
